DEN_REG,COD_REG,cx,cy,Popolazione
Piemonte,1,7.8355098493134765,44.97610332170501,4273210
Valle d'Aosta,2,7.330446346788996,45.71503071505894,123895
Lombardia,3,9.746766068732637,45.71515650225642,9966992
Trentino-Alto Adige,4,11.266146124148461,46.402741230257035,1078460
Veneto,5,11.837605313309698,45.486540160483024,4852453
Friuli Venezia Giulia,6,12.998717719959865,46.221350180986974,1198753
Liguria,7,9.260627278016662,44.46733186144853,1509805
Emilia-Romagna,8,11.064403998007288,44.52572667525148,4445549
Toscana,9,11.136117947664903,43.453991507078044,3668333
Umbria,10,12.479739348775212,42.96205718598627,865013
Marche,11,13.222789835192687,43.2832881798039,1501406
Lazio,12,12.659029730202251,41.9504365551312,5720796
Abruzzo,13,13.841511676129883,42.23016424223724,1285256
Molise,14,14.705648753163622,41.66466353796668,296547
Campania,15,14.828570806508253,41.03419850393011,5679759
Puglia,16,16.470571237708114,40.99482444661405,3926931
Basilicata,17,16.133838912924787,40.44150222611225,547579
Calabria,18,16.47786457054275,39.23856906286873,1877728
Sicilia,19,14.154952775828741,37.5602729609036,4840876
Sardegna,20,9.090170403661718,40.05539379152876,1598225
