COD_REG,regione,entrata,uscita,rapporto
1,Piemonte,205189,216262,0.948798
2,Valle d'Aosta,9101,9448,0.963273
3,Lombardia,594094,344253,1.725748
4,Trentino-Alto Adige,59044,39061,1.511584
5,Veneto,198458,233603,0.849552
6,Friuli Venezia Giulia,56864,86100,0.660441
7,Liguria,86824,96442,0.900272
8,Emilia-Romagna,273562,209543,1.305517
9,Toscana,174108,166585,1.045160
10,Umbria,37598,59002,0.637233
11,Marche,64817,85599,0.757217
12,Lazio,646191,203625,3.173436
13,Abruzzo,65508,98958,0.661978
14,Molise,17483,32406,0.539499
15,Campania,153947,263354,0.584563
16,Puglia,69083,228473,0.302368
17,Basilicata,31010,54453,0.569482
18,Calabria,36458,124865,0.291979
19,Sicilia,57526,218169,0.263676
20,Sardegna,14485,81149,0.178499
