origin,dest,count
1,2,4399
1,3,105440
1,4,2429
1,5,10278
1,6,1944
1,7,17701
1,8,11074
1,9,9014
1,10,728
1,11,1507
1,12,31264
1,13,1829
1,14,433
1,15,7741
1,16,3545
1,17,642
1,18,1520
1,19,3620
1,20,1154
2,1,4272
2,3,2001
2,4,67
2,5,285
2,6,62
2,7,326
2,8,272
2,9,255
2,10,19
2,11,34
2,12,1309
2,13,47
2,14,5
2,15,154
2,16,60
2,17,21
2,18,97
2,19,97
2,20,65
3,1,59169
3,2,1115
3,4,9914
3,5,47105
3,6,6127
3,7,14972
3,8,62013
3,9,20410
3,10,2102
3,11,4549
3,12,71200
3,13,4178
3,14,385
3,15,15935
3,16,8629
3,17,1526
3,18,4197
3,19,8096
3,20,2631
4,1,1258
4,2,68
4,3,9674
4,5,10576
4,6,770
4,7,542
4,8,3784
4,9,1473
4,10,159
4,11,336
4,12,7600
4,13,262
4,14,25
4,15,953
4,16,602
4,17,149
4,18,273
4,19,424
4,20,133
5,1,11194
5,2,404
5,3,64653
5,4,17942
5,6,29520
5,7,3504
5,8,34558
5,9,9472
5,10,1040
5,11,2332
5,12,34483
5,13,1763
5,14,177
5,15,7357
5,16,3758
5,17,797
5,18,6325
5,19,3421
5,20,903
6,1,3603
6,2,66
6,3,12234
6,4,2068
6,5,32357
6,7,1429
6,8,4271
6,9,2681
6,10,223
6,11,766
6,12,19198
6,13,434
6,14,43
6,15,3421
6,16,1142
6,17,238
6,18,422
6,19,1172
6,20,332
7,1,19671
7,2,283
7,3,24700
7,4,955
7,5,3418
7,6,1104
7,8,5261
7,9,14559
7,10,305
7,11,931
7,12,16723
7,13,408
7,14,47
7,15,3922
7,16,1420
7,17,135
7,18,467
7,19,1496
7,20,637
8,1,12587
8,2,230
8,3,74880
8,4,4527
8,5,21608
8,6,2670
8,7,4510
8,9,14781
8,10,1507
8,11,12181
8,12,33268
8,13,2654
8,14,382
8,15,10712
8,16,5521
8,17,838
8,18,1914
8,19,3876
8,20,897
9,1,7879
9,2,201
9,3,36049
9,4,2319
9,5,8631
9,6,1350
9,7,14219
9,8,19907
9,10,7594
9,11,2247
9,12,45178
9,13,1681
9,14,293
9,15,9530
9,16,3054
9,17,613
9,18,1530
9,19,3188
9,20,1122
10,1,1762
10,2,39
10,3,6487
10,4,487
10,5,2004
10,6,272
10,7,534
10,8,3944
10,9,11279
10,11,3946
10,12,23196
10,13,1147
10,14,80
10,15,2085
10,16,553
10,17,151
10,18,301
10,19,522
10,20,213
11,1,3686
11,2,95
11,3,13004
11,4,1151
11,5,4192
11,6,1052
11,7,1077
11,8,21037
11,9,4816
11,10,3343
11,12,15443
11,13,9867
11,14,216
11,15,3138
11,16,1765
11,17,175
11,18,355
11,19,950
11,20,237
12,1,12173
12,2,229
12,3,56016
12,4,3600
12,5,12189
12,6,2156
12,7,5727
12,8,13845
12,9,18959
12,10,10220
12,11,4322
12,13,14257
12,14,1610
12,15,27981
12,16,7029
12,17,1448
12,18,3945
12,19,6116
12,20,1803
13,1,5161
13,2,79
13,3,13122
13,4,961
13,5,3255
13,6,607
13,7,1272
13,8,9092
13,9,4179
13,10,1492
13,11,14949
13,12,32074
13,14,2879
13,15,5299
13,16,2473
13,17,455
13,18,423
13,19,893
13,20,293
14,1,1059
14,2,29
14,3,2520
14,4,226
14,5,716
14,6,125
14,7,249
14,8,2486
14,9,1231
14,10,316
14,11,1093
14,12,7390
14,13,7989
14,15,4859
14,16,1530
14,17,237
14,18,125
14,19,173
14,20,53
15,1,13992
15,2,315
15,3,41903
15,4,2298
15,5,10602
15,6,2185
15,7,5895
15,8,18802
15,9,19003
15,10,2630
15,11,3404
15,12,104602
15,13,5487
15,14,6723
15,16,8368
15,17,5818
15,18,3485
15,19,6789
15,20,1053
16,1,13683
16,2,306
16,3,37042
16,4,3898
16,5,8647
16,6,1876
16,7,3294
16,8,22687
16,9,9759
16,10,1411
16,11,5632
16,12,73692
16,13,7326
16,14,3445
16,15,15839
16,17,13109
16,18,2466
16,19,3493
16,20,868
17,1,3385
17,2,68
17,3,6845
17,4,605
17,5,1599
17,6,345
17,7,713
17,8,4881
17,9,3461
17,10,599
17,11,852
17,12,9618
17,13,1316
17,14,148
17,15,7452
17,16,9889
17,18,1802
17,19,738
17,20,137
18,1,7664
18,2,325
18,3,22807
18,4,1085
18,5,4934
18,6,776
18,7,2326
18,8,10095
18,9,8340
18,10,1397
18,11,1460
18,12,33774
18,13,1682
18,14,202
18,15,9960
18,16,4403
18,17,3255
18,19,9959
18,20,421
19,1,17395
19,2,343
19,3,48405
19,4,2812
19,5,11757
19,6,3053
19,7,5958
19,8,19976
19,9,14976
19,10,1738
19,11,3191
19,12,59211
19,13,2472
19,14,280
19,15,13462
19,16,4173
19,17,1124
19,18,6310
19,20,1533
20,1,5596
20,2,507
20,3,16312
20,4,1700
20,5,4305
20,6,870
20,7,2576
20,8,5577
20,9,5460
20,10,775
20,11,1085
20,12,26968
20,13,709
20,14,110
20,15,4147
20,16,1169
20,17,279
20,18,501
20,19,2503
