COD_REG,regione,popolazione,individiduiDinamiciUscita,individiduiDinamiciUscitaOgniCento
3,Lombardia,9966992,344253,3
4,Trentino-Alto Adige,1078460,39061,4
12,Lazio,5720796,203625,4
1,Piemonte,4273210,216262,5
5,Veneto,4852453,233603,5
8,Emilia-Romagna,4445549,209543,5
9,Toscana,3668333,166585,5
15,Campania,5679759,263354,5
19,Sicilia,4840876,218169,5
20,Sardegna,1598225,81149,5
7,Liguria,1509805,96442,6
11,Marche,1501406,85599,6
16,Puglia,3926931,228473,6
6,Friuli Venezia Giulia,1198753,86100,7
10,Umbria,865013,59002,7
18,Calabria,1877728,124865,7
2,Valle d'Aosta,123895,9448,8
13,Abruzzo,1285256,98958,8
17,Basilicata,547579,54453,10
14,Molise,296547,32406,11
