id,name,lat,lon
1,Piemonte,44.97610332170501,7.8355098493134765
2,Valle d'Aosta,45.71503071505894,7.330446346788996
3,Lombardia,45.71515650225642,9.746766068732637
4,Trentino-Alto Adige,46.402741230257035,11.266146124148461
5,Veneto,45.486540160483024,11.837605313309698
6,Friuli Venezia Giulia,46.221350180986974,12.998717719959865
7,Liguria,44.46733186144853,9.260627278016662
8,Emilia-Romagna,44.52572667525148,11.064403998007288
9,Toscana,43.453991507078044,11.136117947664903
10,Umbria,42.96205718598627,12.479739348775212
11,Marche,43.2832881798039,13.222789835192687
12,Lazio,41.9504365551312,12.659029730202251
13,Abruzzo,42.23016424223724,13.841511676129883
14,Molise,41.66466353796668,14.705648753163622
15,Campania,41.03419850393011,14.828570806508253
16,Puglia,40.99482444661405,16.470571237708114
17,Basilicata,40.44150222611225,16.133838912924787
18,Calabria,39.23856906286873,16.47786457054275
19,Sicilia,37.5602729609036,14.154952775828741
20,Sardegna,40.05539379152876,9.090170403661718
