Regione,Età,Totale Maschi,Totale Femmine,Totale
Piemonte,Totale,2077405,2195805,4273210
Valle d'Aosta/Vallée d'Aoste,Totale,60557,63338,123895
Lombardia,Totale,4882206,5084786,9966992
Trentino-Alto Adige/Südtirol,Totale,531999,546461,1078460
Veneto,Totale,2377891,2474562,4852453
Friuli-Venezia Giulia,Totale,583280,615473,1198753
Liguria,Totale,723647,786158,1509805
Emilia-Romagna,Totale,2165612,2279937,4445549
Toscana,Totale,1773215,1895118,3668333
Umbria,Totale,417598,447415,865013
Marche,Totale,730536,770870,1501406
Lazio,Totale,2761729,2959067,5720796
Abruzzo,Totale,627509,657747,1285256
Molise,Totale,145946,150601,296547
Campania,Totale,2767607,2912152,5679759
Puglia,Totale,1910616,2016315,3926931
Basilicata,Totale,269350,278229,547579
Calabria,Totale,919061,958667,1877728
Sicilia,Totale,2353823,2487053,4840876
Sardegna,Totale,784501,813724,1598225
